line	start	end	head	text
26	5	5	5	Rïalto
27	2	8	3	le fontane di Brenta e di Piava
27	2	3	3	le fontane
27	5	5	5	Brenta
27	8	8	8	Piava
28	3	4	4	un colle
29	5	6	6	una facella
30	4	5	5	la contrada
30	6	8	8	un grande assalto
31	2	3	3	una radice
31	6	6	6	io
31	8	8	8	ella
32	1	1	1	Cunizza
33	4	8	5	il lume d'esta stella
33	7	8	8	esta stella
34	4	5	4	me medesma
35	1	5	2	la cagion di mia sorte
35	4	5	5	mia sorte
35	8	8	8	mi
36	6	7	7	vostro vulgo
37	2	6	6	questa luculenta e cara gioia
37	6	6	6	gioia
38	2	8	3	nostro cielo che più m'è propinqua
38	2	3	3	nostro cielo
38	3	3	3	cielo
38	4	4	4	che
39	1	2	2	grande fama
39	2	2	2	fama
40	1	3	3	questo centesimo anno
41	6	8	7	l'omo eccellente
42	3	4	4	altra vita
42	5	6	6	la prima
43	2	2	2	ciò
43	5	7	6	la turba presente
44	2	4	2	Tagliamento e Adice
44	2	2	2	Tagliamento
44	4	4	4	Adice
45	3	4	3	esser battuta
46	5	5	5	Padova
46	7	7	7	palude
47	2	6	3	l'acqua che Vincenza bagna
47	2	3	3	l'acqua
47	5	5	5	Vincenza
48	4	4	4	dover
48	5	7	6	le genti crude
49	3	5	3	Sile e Cagnan
49	3	3	3	Sile
49	5	5	5	Cagnan
50	1	1	1	tal
50	6	8	7	la testa alta
50	7	8	7	testa alta
50	7	7	7	testa
51	4	4	4	lui
51	8	9	9	la ragna
51	9	9	9	ragna
52	2	2	2	Feltro
52	4	5	5	la difalta
53	2	5	5	l'empio suo pastor
53	3	5	5	empio suo pastor
53	4	5	5	suo pastor
53	6	6	6	che
54	4	4	4	simil
54	9	9	9	malta
55	4	5	5	la bigoncia
56	3	5	4	il sangue ferrarese
57	3	9	3	chi 'l pesasse a oncia a oncia
57	7	7	7	oncia
57	7	7	7	oncia
58	3	5	4	questo prete cortese
59	4	4	4	parte
59	6	7	7	cotai doni
60	4	6	4	viver del paese
60	6	6	6	paese
61	3	3	3	specchi
61	4	4	4	voi
61	6	6	6	Troni
62	4	4	4	noi
62	5	6	5	Dio giudicante
62	5	5	5	Dio
63	3	4	4	questi parlar
63	4	4	4	parlar
63	5	5	5	ne
64	2	2	2	si
64	6	6	6	sembiante
65	4	5	5	altro volta
65	7	8	8	la rota
66	2	2	2	che
66	3	3	3	si
67	1	3	3	L'altra letizia
68	2	3	3	cara cosa
68	8	8	8	vista
69	2	3	3	fin balasso
69	6	7	7	lo sol
70	5	5	5	fulgor
71	3	3	3	riso
72	1	4	2	l'ombra di fuor
72	1	2	2	l'ombra
72	4	4	4	fuor
72	6	7	7	la mente
73	1	1	1	Dio
73	3	3	3	tutto
73	5	6	6	tuo veder
73	6	6	6	veder
74	2	2	2	io
74	3	4	4	beato spirto
74	4	4	4	spirto
74	7	7	7	nulla
75	1	3	1	voglia di sé
75	1	1	1	voglia
75	3	3	3	sé
75	5	5	5	te
76	2	4	3	la voce tua
76	6	7	7	'l ciel
77	3	7	3	canto di quei fuochi pii
77	5	7	6	quei fuochi pii
78	3	4	4	sei ali
78	6	7	7	la coculla
79	5	6	6	miei disii
80	4	4	4	io
80	5	6	6	tua dimanda
81	2	2	2	io
81	6	6	6	tu
82	1	9	3	La maggior valle in che l'acqua si spanda
82	1	3	3	La maggior valle
82	6	7	7	l'acqua
83	3	5	5	le sue parole
84	3	8	4	quel mar che la terra inghirlanda
84	3	4	4	quel mar
84	6	7	7	la terra
85	2	6	3	discordanti liti contra 'l sole
85	2	3	3	discordanti liti
85	5	6	6	'l sole
86	6	6	6	meridïano
87	3	4	4	l'orizzonte
88	2	3	3	quella valle
88	3	3	3	valle
88	5	5	5	io
88	6	6	6	litorano
89	2	4	2	Ebro e Macra
89	2	2	2	Ebro
89	4	4	4	Macra
89	7	8	7	cammin corto
89	7	7	7	cammin
90	2	3	3	lo Genovese
90	3	3	3	Genovese
90	5	5	5	Toscano
91	2	4	3	un occaso quasi
91	2	3	3	un occaso
91	7	8	8	un orto
92	1	1	1	Buggea
92	4	8	5	la terra ond' io fui
92	4	5	5	la terra
92	7	7	7	io
93	4	7	4	sangue suo già caldo
93	4	5	4	sangue suo
93	4	4	4	sangue
93	8	9	9	il porto
94	1	1	1	Folco
94	2	2	2	mi
94	4	5	5	quella gente
94	7	7	7	cui
95	3	5	4	il nome mio
95	7	8	8	questo cielo
96	2	2	2	me
96	6	6	6	io
96	9	9	9	lui
97	5	8	6	la figlia di Belo
97	5	6	6	la figlia
97	6	8	6	figlia di Belo
97	8	8	8	Belo
98	4	4	4	Sicheo
98	7	7	7	Creusa
99	2	2	2	me
99	8	8	8	pelo
100	2	3	3	quella Rodopëa
100	3	3	3	Rodopëa
101	3	3	3	Demofoonte
101	5	5	5	Alcide
102	2	2	2	Iole
102	4	4	4	core
103	0	0	0	
104	3	4	4	la colpa
104	4	4	4	colpa
104	7	7	7	mente
105	3	7	3	valor ch'ordinò e provide
105	3	3	3	valor
106	5	8	6	l'arte ch'addorna
106	5	6	6	l'arte
107	1	2	2	cotanto affetto
107	5	6	6	'l bene
108	3	6	4	'l mondo di sù
108	3	4	4	'l mondo
108	6	6	6	sù
108	7	9	7	quel di giù
108	7	7	7	quel
108	9	9	9	giù
109	3	7	6	tutte le tue voglie piene
109	4	7	6	le tue voglie piene
109	5	7	6	tue voglie piene
109	6	7	6	voglie piene
109	6	6	6	voglie
110	7	8	8	questa spera
110	8	8	8	spera
111	1	1	1	proceder
112	1	1	1	Tu
112	4	4	4	chi
112	7	8	8	questa lumera
113	1	1	1	che
113	4	4	4	me
114	2	7	2	raggio di sole in acqua mera
114	2	4	2	raggio di sole
114	4	4	4	sole
114	6	7	6	acqua mera
115	0	0	0	
116	1	1	1	Raab
116	4	5	5	nostr' ordine
117	2	2	2	lei
117	4	5	5	sommo grado
118	2	3	3	questo cielo
118	6	7	7	l'ombra
119	2	4	4	'l vostro mondo
119	8	9	9	altr' alma
120	2	4	2	trïunfo di Cristo
120	4	4	4	Cristo
121	4	4	4	lei
121	7	7	7	palma
122	2	7	3	alcun cielo de l'alta vittoria
122	2	3	3	alcun cielo
122	5	7	7	l'alta vittoria
123	5	10	10	l'una e l'altra palma
123	5	6	6	l'una
123	8	10	10	l'altra palma
123	10	10	10	palma
124	2	2	2	ella
124	4	6	6	la prima gloria
125	2	2	2	Iosüè
125	5	7	6	la Terra Santa
126	4	5	5	al papa
126	5	5	5	papa
126	6	7	7	la memoria
127	1	3	3	La tua città
127	6	6	6	colui
128	4	5	5	le spalle
128	7	8	8	suo fattore
129	3	3	3	cui
129	5	6	6	la 'nvidia
130	4	6	6	il maladetto fiore
131	4	8	5	le pecore e li agni
131	4	5	5	le pecore
131	7	8	8	li agni
132	5	7	5	lupo del pastore
132	7	7	7	pastore
133	2	2	2	questo
133	3	8	4	l'Evangelio e i dottor magni
133	3	4	4	l'Evangelio
133	6	8	7	i dottor magni
134	5	6	6	ai Decretali
134	6	6	6	Decretali
135	6	8	8	a' lor vivagni
135	7	8	8	lor vivagni
135	8	8	8	vivagni
136	2	2	2	questo
136	4	7	5	il papa e ' cardinali
136	4	5	5	il papa
136	7	7	7	cardinali
137	3	5	5	i lor pensieri
137	7	7	7	Nazarette
138	3	3	3	Gabrïello
138	5	6	6	l'ali
139	2	7	2	Vaticano e l'altre parti elette
139	2	2	2	Vaticano
139	4	7	6	l'altre parti elette
139	5	7	6	altre parti elette
139	6	7	6	parti elette
139	6	6	6	parti
140	2	2	2	Roma
140	6	6	6	cimitero
141	2	6	3	la milizia che Pietro seguette
141	2	3	3	la milizia
141	3	6	3	milizia che Pietro seguette
141	3	3	3	milizia
141	5	5	5	Pietro
142	5	6	6	l'avoltero
