line	token	word	deprel	head_line	head_token
37	1	però	mark	37	4
37	2	che	mark	37	4
37	3	forse	advmod	37	4
37	4	appar	advcl	34	4
37	5	la	det	37	7
37	6	sua	det:poss	37	7
37	7	matera	nsubj	37	4
38	1	sempre	advmod	38	3
38	2	esser	cop	38	3
38	3	buona	xcomp	37	4
38	4	ma	cc	39	1
38	5	non	advmod	39	1
38	6	ciascun	det	38	7
38	7	segno	nsubj	39	1
39	1	è	conj	37	4
39	2	buono	attr	39	1
39	3	ancor	advmod	39	5
39	4	che	mark	39	5
39	5	buona	advcl	39	1
39	6	sia	cop	39	5
39	7	la	det	39	8
39	8	cera	nsubj	39	5
40	1	Le	det	40	3
40	2	tue	amod	40	3
40	3	parole	nsubj	41	7
40	4	e	cc	40	8
40	5	'l	det	40	8
40	6	mio	amod	40	8
40	7	seguace	amod	40	8
40	8	ingegno	conj	40	3
41	1	rispuos'	root	0	0
41	2	io	nsubj	41	1
41	3	lui	iobj	41	1
41	4	m'	iobj	41	7
41	5	hanno	aux	41	7
41	6	amor	obj	41	7
41	7	discoverto	ccomp	41	1
42	1	ma	cc	42	5
42	2	ciò	nsubj	42	5
42	3	m'	obj	42	5
42	4	ha	aux	42	5
42	5	fatto	conj	41	7
42	6	di	mark	42	7
42	7	dubbiar	xcomp	42	9
42	8	più	advmod	42	9
42	9	pregno	xcomp	42	5
43	1	ché	mark	45	9
43	2	s'	mark	43	9
43	3	amore	nsubj	43	9
43	4	è	aux	43	9
43	5	di	case	43	6
43	6	fuori	obl	43	9
43	7	a	case	43	8
43	8	noi	obl	43	9
43	9	offerto	advcl	45	9
44	1	e	cc	44	5
44	2	l'	det	44	3
44	3	anima	nsubj	44	5
44	4	non	advmod	44	5
44	5	va	conj	43	9
44	6	con	case	44	8
44	7	altro	amod	44	8
44	8	piede	obl	44	5
45	1	se	mark	45	5
45	2	dritta	advmod	45	5
45	3	o	cc	45	4
45	4	torta	conj	45	2
45	5	va	advcl	45	9
45	6	non	advmod	45	9
45	7	è	cop	45	9
45	8	suo	det:poss	45	9
45	9	merto	advcl	42	5
46	1	Ed	cc	46	2
46	2	elli	root	0	0
46	3	a	case	46	4
46	4	me	obl	46	2
46	5	Quanto	det	46	6
46	6	ragion	obj	46	8
46	7	qui	advmod	46	8
46	8	vede	obj	47	1
47	1	dir	xcomp	47	3
47	2	ti	iobj	47	1
47	3	poss'	ccomp	46	2
47	4	io	nsubj	47	3
47	5	da	case	47	6
47	6	indi	obl	47	10
47	7	in	case	47	8
47	8	là	obl	47	10
47	9	t'	obj	47	10
47	10	aspetta	conj	47	3
48	1	pur	advmod	47	10
48	2	a	case	48	3
48	3	Beatrice	nsubj	47	10
48	4	ch'	nsubj	48	6
48	5	è	cop	48	6
48	6	opra	acl:relcl	48	3
48	7	di	case	48	8
48	8	fede	nmod	48	6
49	1	Ogne	det	49	2
49	2	forma	nsubj	51	3
49	3	sustanzïal	amod	49	2
49	4	che	nsubj	49	5
49	5	setta	acl:relcl	49	2
50	1	è	conj	49	5
50	2	da	case	50	3
50	3	matera	obl	50	1
50	4	ed	cc	50	5
50	5	è	conj	50	1
50	6	con	case	50	7
50	7	lei	obl	50	8
50	8	unita	amod	50	5
51	1	specifica	amod	51	2
51	2	vertute	obj	51	3
51	3	ha	root	0	0
51	4	in	case	51	5
51	5	sé	obl	51	3
51	6	colletta	amod	51	2
52	1	la	det	52	2
52	2	qual	nsubj	52	7
52	3	sanza	case	52	4
52	4	operar	obl	52	7
52	5	non	advmod	52	7
52	6	è	aux	52	7
52	7	sentita	acl:relcl	51	2
53	1	né	cc	53	3
53	2	si	expl	53	3
53	3	dimostra	conj	52	7
53	4	mai	advmod	53	3
53	5	che	advmod	53	3
53	6	per	case	53	7
53	7	effetto	obl	53	3
54	1	come	advmod	53	3
54	2	per	case	54	4
54	3	verdi	amod	54	4
54	4	fronde	obl	53	3
54	5	in	case	54	6
54	6	pianta	nmod	54	4
54	7	vita	amod	54	6
55	1	Però	advmod	56	7
55	2	là	obl	56	7
55	3	onde	mark	55	4
55	4	vegna	advcl	55	2
55	5	lo	det	55	6
55	6	'ntelletto	nsubj	55	4
56	1	de	case	56	4
56	2	le	det	56	4
56	3	prime	amod	56	4
56	4	notizie	obl	55	4
56	5	omo	nsubj	56	7
56	6	non	advmod	56	7
56	7	sape	root	0	0
57	1	e	cc	57	6
57	2	de'	case	57	4
57	3	primi	amod	57	4
57	4	appetibili	nmod	57	6
57	5	l'	det	57	6
57	6	affetto	obj	56	7
58	1	che	nsubj	58	2
58	2	sono	acl:relcl	57	6
58	3	in	case	58	4
58	4	voi	obl	58	2
58	5	sì	advmod	58	6
58	6	come	advmod	58	2
58	7	studio	obl	58	6
58	8	in	case	58	9
58	9	ape	nmod	58	7
59	1	di	mark	59	2
59	2	far	acl	58	7
59	3	lo	det	59	4
59	4	mele	obj	59	2
59	5	e	cc	60	8
59	6	questa	det	59	8
59	7	prima	amod	59	8
59	8	voglia	nsubj	60	8
60	1	merto	obj	60	8
60	2	di	case	60	3
60	3	lode	nmod	60	1
60	4	o	cc	60	6
60	5	di	case	60	6
60	6	biasmo	nmod	60	1
60	7	non	advmod	60	8
60	8	cape	conj	56	7
61	1	Or	advmod	62	3
61	2	perché	mark	61	8
61	3	a	case	61	4
61	4	questa	obl	61	8
61	5	ogn'	det	61	6
61	6	altra	nsubj	61	8
61	7	si	expl	61	8
61	8	raccoglia	advcl	62	3
62	1	innata	amod	62	5
62	2	v'	advmod	62	3
62	3	è	root	0	0
62	4	la	det	62	5
62	5	virtù	nsubj	62	3
62	6	che	nsubj	62	7
62	7	consiglia	acl:relcl	62	5
63	1	e	cc	63	5
63	2	de	case	63	4
63	3	l'	det	63	4
63	4	assenso	nmod	63	8
63	5	de'	conj	62	7
63	6	tener	xcomp	63	5
63	7	la	det	63	8
63	8	soglia	obj	63	6
64	1	Quest'	nsubj	64	4
64	2	è	cop	64	4
64	3	'l	det	64	4
64	4	principio	root	0	0
64	5	là	advmod	64	6
64	6	onde	obl	64	8
64	7	si	expl	64	8
64	8	piglia	acl:relcl	64	4
65	1	ragion	obj	64	8
65	2	di	case	65	3
65	3	meritare	xcomp	65	1
65	4	in	case	65	5
65	5	voi	obl	65	3
65	6	secondo	mark	66	6
66	1	che	mark	66	6
66	2	buoni	amod	66	5
66	3	e	cc	66	4
66	4	rei	amod	66	5
66	5	amori	obj	66	6
66	6	accoglie	advcl	64	8
66	7	e	cc	66	8
66	8	viglia	conj	66	6
67	1	Color	nsubj	68	2
67	2	che	nsubj	67	4
67	3	ragionando	advcl	67	4
67	4	andaro	acl:relcl	67	1
67	5	al	case	67	6
67	6	fondo	obl	67	4
68	1	s'	expl	68	2
68	2	accorser	root	0	0
68	3	d'	case	68	6
68	4	esta	det	68	6
68	5	innata	amod	68	6
68	6	libertate	obj	68	2
69	1	però	advmod	69	3
69	2	moralità	obj	69	3
69	3	lasciaro	conj	68	2
69	4	al	case	69	5
69	5	mondo	obl	69	3
70	1	Onde	advmod	72	3
70	2	poniam	advcl	72	3
70	3	che	mark	71	1
70	4	di	case	70	5
70	5	necessitate	obl	71	1
71	1	surga	ccomp	70	2
71	2	ogne	det	71	3
71	3	amor	nsubj	71	1
71	4	che	nsubj	71	9
71	5	dentro	advmod	71	9
71	6	a	case	71	7
71	7	voi	obl	71	9
71	8	s'	obj	71	9
71	9	accende	acl:relcl	71	3
72	1	di	mark	72	2
72	2	ritenerlo	xcomp	72	7
72	3	è	root	0	0
72	4	in	case	72	5
72	5	voi	obl	72	3
72	6	la	det	72	7
72	7	podestate	nsubj	72	3
73	1	La	det	73	3
73	2	nobile	amod	73	3
73	3	virtù	obj	73	5
73	4	Beatrice	nsubj	73	5
73	5	intende	root	0	0
74	1	per	case	74	4
74	2	lo	det	74	4
74	3	libero	amod	74	4
74	4	arbitrio	obl	73	5
74	5	e	cc	74	7
74	6	però	advmod	74	7
74	7	guarda	conj	73	5
75	1	che	mark	75	3
75	2	l'	obj	75	3
75	3	abbi	ccomp	74	7
75	4	a	case	75	5
75	5	mente	obl	75	3
75	6	s'	mark	75	10
75	7	a	mark	75	8
75	8	parlar	xcomp	75	10
75	9	ten	aux	75	10
75	10	prende	advcl	74	7
76	1	La	det	76	2
76	2	luna	nsubj	77	1
76	3	quasi	advmod	76	4
76	4	a	case	76	6
76	5	mezza	amod	76	6
76	6	notte	obl	77	1
76	7	tarda	amod	76	6
77	1	facea	root	0	0
77	2	le	det	77	3
77	3	stelle	obj	77	1
77	4	a	case	77	5
77	5	noi	obl	77	6
77	6	parer	xcomp	77	1
77	7	più	advmod	77	8
77	8	rade	xcomp	77	6
78	1	fatta	acl	76	2
78	2	com'	case	78	4
78	3	un	det	78	4
78	4	secchion	obl	78	1
78	5	che	nsubj	78	7
78	6	tuttor	advmod	78	7
78	7	arda	acl:relcl	78	4
79	1	e	cc	79	2
79	2	correa	conj	77	1
79	3	contro	case	79	5
79	4	'l	det	79	5
79	5	ciel	obl	79	2
79	6	per	case	79	8
79	7	quelle	det	79	8
79	8	strade	obl	79	2
80	1	che	obj	80	4
80	2	'l	det	80	3
80	3	sole	nsubj	80	4
80	4	infiamma	acl:relcl	79	8
80	5	allor	advmod	81	6
80	6	che	mark	81	6
80	7	quel	nsubj	81	6
80	8	da	case	80	9
80	9	Roma	obl	81	6
81	1	tra	case	81	2
81	2	Sardi	obl	81	6
81	3	e	cc	81	4
81	4	Corsi	conj	81	2
81	5	il	obj	81	6
81	6	vede	advcl	80	4
81	7	quando	mark	81	8
81	8	cade	advcl	81	6
82	1	E	cc	84	4
82	2	quell'	det	82	3
82	3	ombra	nsubj	84	4
82	4	gentil	amod	82	3
82	5	per	case	82	6
82	6	cui	obl	82	8
82	7	si	expl	82	8
82	8	noma	acl:relcl	82	3
83	1	Pietola	nsubj	82	8
83	2	più	advmod	82	8
83	3	che	case	83	4
83	4	villa	obl	82	8
83	5	mantoana	amod	83	4
84	1	del	case	84	3
84	2	mio	det:poss	84	3
84	3	carcar	nmod	84	7
84	4	diposta	root	0	0
84	5	avea	aux	84	4
84	6	la	det	84	7
84	7	soma	obj	84	4
85	1	per	case	85	2
85	2	ch'	mark	87	1
85	3	io	nsubj	87	1
85	4	che	nsubj	86	6
85	5	la	det	85	6
85	6	ragione	obj	86	6
85	7	aperta	amod	85	6
85	8	e	cc	85	9
85	9	piana	amod	85	6
86	1	sovra	case	86	4
86	2	le	det	86	4
86	3	mie	det:poss	86	4
86	4	quistioni	obl	86	6
86	5	avea	aux	86	6
86	6	ricolta	acl:relcl	85	3
87	1	stava	advcl	84	4
87	2	com'	case	87	3
87	3	om	obl	87	1
87	4	che	nsubj	87	6
87	5	sonnolento	advmod	87	6
87	6	vana	acl:relcl	87	3
88	1	Ma	cc	88	6
88	2	questa	det	88	3
88	3	sonnolenza	nsubj	88	6
88	4	mi	iobj	88	6
88	5	fu	aux	88	6
88	6	tolta	root	0	0
89	1	subitamente	advmod	88	6
89	2	da	case	89	3
89	3	gente	obl	88	6
89	4	che	nsubj	90	8
89	5	dopo	case	90	3
90	1	le	det	90	3
90	2	nostre	det:poss	90	3
90	3	spalle	obl	90	8
90	4	a	case	90	5
90	5	noi	obl	90	8
90	6	era	aux	90	8
90	7	già	advmod	90	8
90	8	volta	acl:relcl	89	3
91	1	E	conj	94	7
91	2	quale	mark	91	5
91	3	Ismeno	nsubj	91	5
91	4	già	advmod	91	5
91	5	vide	advcl	94	7
91	6	e	cc	91	7
91	7	Asopo	conj	91	3
92	1	lungo	case	92	3
92	2	di	case	92	3
92	3	sè	obl	91	5
92	4	di	case	92	5
92	5	notte	obl	91	5
92	6	furia	obj	91	5
92	7	e	cc	92	8
92	8	calca	conj	92	6
93	1	pur	advmod	93	7
93	2	che	mark	93	7
93	3	i	det	93	4
93	4	Teban	nsubj	93	7
93	5	di	case	93	6
93	6	Bacco	nmod	93	4
93	7	avesser	advcl	91	5
93	8	uopo	obj	93	7
94	1	cotal	advmod	94	7
94	2	per	case	94	4
94	3	quel	det	94	4
94	4	giron	obl	94	7
94	5	suo	det:poss	94	4
94	6	passo	obj	94	7
94	7	falca	root	0	0
95	1	per	case	95	2
95	2	quel	obl	94	7
95	3	ch'	obj	95	5
95	4	io	nsubj	95	5
95	5	vidi	acl:relcl	95	2
95	6	di	case	95	7
95	7	color	obl	95	5
95	8	venendo	advcl	95	5
96	1	cui	obj	96	7
96	2	buon	amod	96	3
96	3	volere	nsubj	96	7
96	4	e	cc	96	6
96	5	giusto	amod	96	6
96	6	amor	conj	96	3
96	7	cavalca	acl:relcl	95	7
97	1	Tosto	advmod	97	2
97	2	fur	root	0	0
97	3	sovr'	obl	97	2
97	4	a	case	97	5
97	5	noi	obl	97	3
97	6	perché	mark	98	2
97	7	correndo	advcl	98	2
98	1	si	expl	98	2
98	2	movea	advcl	97	2
98	3	tutta	det	98	5
98	4	quella	det	98	5
98	5	turba	nsubj	98	2
98	6	magna	amod	98	5
99	1	e	cc	99	4
99	2	due	nsubj	99	4
99	3	dinanzi	advmod	99	4
99	4	gridavan	conj	97	2
99	5	piangendo	advcl	99	4
100	1	Maria	nsubj	100	2
100	2	corse	ccomp	99	4
100	3	con	case	100	4
100	4	fretta	obl	100	2
100	5	a	case	100	7
100	6	la	det	100	7
100	7	montagna	obl	100	2
101	1	e	cc	102	1
101	2	Cesare	nsubj	102	1
101	3	per	case	101	4
101	4	soggiogare	advcl	102	1
101	5	Ilerda	obj	101	4
102	1	punse	conj	100	2
102	2	Marsilia	obj	102	1
102	3	e	cc	102	5
102	4	poi	advmod	102	5
102	5	corse	conj	102	1
102	6	in	case	102	7
102	7	Ispagna	obl	102	5
103	1	Ratto	advmod	104	4
103	2	ratto	conj	103	1
103	3	che	mark	103	8
103	4	'l	det	103	5
103	5	tempo	nsubj	103	8
103	6	non	advmod	103	8
103	7	si	expl	103	8
103	8	perda	ccomp	104	4
104	1	per	case	104	3
104	2	poco	amod	104	3
104	3	amor	obl	103	8
104	4	gridavan	root	0	0
104	5	li	det	104	6
104	6	altri	nsubj	104	4
104	7	appresso	advmod	104	4
105	1	che	mark	105	7
105	2	studio	nsubj	105	7
105	3	di	case	105	5
105	4	ben	advmod	105	5
105	5	far	acl	105	2
105	6	grazia	obj	105	5
105	7	rinverda	conj	103	8
106	1	O	vocative	106	2
106	2	gente	vocative	111	3
106	3	in	case	106	4
106	4	cui	obl	107	1
106	5	fervore	nsubj	107	1
106	6	aguto	amod	106	5
106	7	adesso	advmod	107	1
107	1	ricompie	acl:relcl	106	2
107	2	forse	advmod	107	1
107	3	negligenza	obj	107	1
107	4	e	cc	107	5
107	5	indugio	conj	107	3
108	1	da	case	108	2
108	2	voi	obl	108	8
108	3	per	case	108	4
108	4	tepidezza	obl	108	8
108	5	in	case	108	7
108	6	ben	advmod	108	7
108	7	far	obl	108	4
108	8	messo	acl	107	5
109	1	questi	nsubj	110	1
109	2	che	nsubj	109	3
109	3	vive	acl:relcl	109	1
109	4	e	cc	109	9
109	5	certo	advmod	109	9
109	6	i'	nsubj	109	9
109	7	non	advmod	109	9
109	8	vi	iobj	109	9
109	9	bugio	conj	110	1
110	1	vuole	advcl	111	3
110	2	andar	xcomp	110	1
110	3	sù	advmod	110	2
110	4	pur	advmod	110	9
110	5	che	mark	110	9
110	6	'l	det	110	7
110	7	sol	nsubj	110	9
110	8	ne	advmod	110	9
110	9	riluca	advcl	110	2
111	1	però	advmod	111	3
111	2	ne	obj	111	3
111	3	dite	root	0	0
111	4	ond'	obl	111	5
111	5	è	ccomp	111	3
111	6	presso	case	111	8
111	7	il	det	111	8
111	8	pertugio	obl	111	5
112	1	Parole	attr	112	2
112	2	furon	root	0	0
112	3	queste	nsubj	112	2
112	4	del	case	112	1
112	5	mio	det:poss	112	6
112	6	duca	nmod	112	1
113	1	e	cc	113	6
113	2	un	nsubj	113	6
113	3	di	case	113	5
113	4	quelli	det	113	5
113	5	spirti	nmod	113	2
113	6	disse	conj	112	2
113	7	Vieni	ccomp	113	6
114	1	di	case	114	2
114	2	retro	obl	113	7
114	3	a	case	114	4
114	4	noi	obl	114	2
114	5	e	cc	114	6
114	6	troverai	conj	113	7
114	7	la	det	114	8
114	8	buca	obj	114	6
115	1	Noi	nsubj	115	8
115	2	siam	cop	115	8
115	3	di	case	115	4
115	4	voglia	obl	115	8
115	5	a	case	115	6
115	6	muoverci	xcomp	115	4
115	7	sì	advmod	115	8
115	8	pieni	conj	116	6
116	1	che	mark	116	4
116	2	restar	xcomp	116	4
116	3	non	advmod	116	4
116	4	potem	advcl	115	8
116	5	però	cc	116	6
116	6	perdona	root	0	0
117	1	se	mark	117	5
117	2	villania	obj	117	5
117	3	nostra	det:poss	117	2
117	4	giustizia	obj	117	5
117	5	tieni	advcl	116	6
118	1	Io	nsubj	118	3
118	2	fui	cop	118	3
118	3	abate	root	0	0
118	4	in	case	118	6
118	5	San	amod	118	6
118	6	Zeno	obl	118	3
118	7	a	case	118	8
118	8	Verona	obl	118	3
119	1	sotto	case	119	3
119	2	lo	det	119	3
119	3	'mperio	obl	118	3
119	4	del	case	119	6
119	5	buon	amod	119	6
119	6	Barbarossa	nmod	119	3
120	1	di	case	120	2
120	2	cui	obl	120	6
120	3	dolente	advmod	120	6
120	4	ancor	advmod	120	6
120	5	Milan	nsubj	120	6
120	6	ragiona	acl:relcl	119	6
121	1	E	cc	121	3
121	2	tale	nsubj	121	3
121	3	ha	root	0	0
121	4	già	advmod	121	3
121	5	l'	det	121	7
121	6	un	det	121	7
121	7	piè	obj	121	3
121	8	dentro	case	121	10
121	9	la	det	121	10
121	10	fossa	obl	121	3
122	1	che	mark	122	3
122	2	tosto	advmod	122	3
122	3	piangerà	advcl	121	3
122	4	quel	det	122	5
122	5	monastero	nsubj	122	3
123	1	e	cc	123	2
123	2	tristo	conj	122	3
123	3	fia	cop	123	2
123	4	d'	case	123	6
123	5	avere	aux	123	6
123	6	avuta	obl	123	2
123	7	possa	obj	123	6
124	1	perché	mark	126	2
124	2	suo	det	124	3
124	3	figlio	nsubj	126	2
124	4	mal	amod	124	3
124	5	del	case	124	6
124	6	corpo	nmod	124	4
124	7	intero	amod	124	6
125	1	e	cc	125	5
125	2	de	case	125	4
125	3	la	det	125	4
125	4	mente	nmod	125	5
125	5	peggio	amod	124	3
125	6	e	cc	125	9
125	7	che	nsubj	125	9
125	8	mal	advmod	125	9
125	9	nacque	acl:relcl	124	3
126	1	ha	aux	126	2
126	2	posto	advcl	122	3
126	3	in	case	126	4
126	4	loco	obl	126	2
126	5	di	case	126	7
126	6	suo	det	126	7
126	7	pastor	nmod	126	4
126	8	vero	amod	126	7
127	1	Io	nsubj	127	3
127	2	non	advmod	127	3
127	3	so	root	0	0
127	4	se	mark	127	6
127	5	più	advmod	127	6
127	6	disse	ccomp	127	3
127	7	o	cc	127	11
127	8	s'	mark	127	11
127	9	ei	nsubj	127	11
127	10	si	obl	127	11
127	11	tacque	conj	127	6
128	1	tant'	advmod	128	8
128	2	era	aux	128	8
128	3	già	advmod	128	8
128	4	di	case	128	5
128	5	là	obl	128	8
128	6	da	case	128	7
128	7	noi	nmod	128	5
128	8	trascorso	advcl	127	3
129	1	ma	cc	129	3
129	2	questo	obj	129	3
129	3	intesi	conj	127	3
129	4	e	cc	129	7
129	5	ritener	nsubj	129	7
129	6	mi	iobj	129	7
129	7	piacque	conj	129	3
130	1	E	cc	131	1
130	2	quei	nsubj	131	1
130	3	che	nsubj	130	9
130	4	m'	obj	130	9
130	5	era	aux	130	9
130	6	ad	case	130	8
130	7	ogne	det	130	8
130	8	uopo	obl	130	9
130	9	soccorso	acl:relcl	130	2
131	1	disse	root	0	0
131	2	Volgiti	ccomp	131	1
131	3	qua	advmod	131	2
131	4	vedine	conj	131	2
131	5	due	obj	131	4
132	1	venir	xcomp	131	4
132	2	dando	advcl	132	1
132	3	a	case	132	5
132	4	l'	det	132	5
132	5	accidïa	obl	132	2
132	6	di	case	132	7
132	7	morso	obl	132	2
133	1	Di	case	133	2
133	2	retro	obl	133	5
133	3	a	case	133	4
133	4	tutti	nmod	133	2
133	5	dicean	root	0	0
133	6	Prima	advmod	135	2
133	7	fue	aux	134	1
134	1	morta	ccomp	133	5
